_*0 0:00 |the georgia association of the deaf hosted its first ever| 8LCX_1ayqzA
_*25637 3:11 |arms are heavy| 7Roa3aKnFoE
_*25638 3:12 |there 's vomite| 7Roa3aKnFoE
_*25639 3:12 |on his sweater| 7Roa3aKnFoE
_*25640 3:13 already 7Roa3aKnFoE
_*25641 3:14 |moms spaghetti .| 7Roa3aKnFoE
_*25642 3:15 |ok so we are just going to take your temperature so do n't be afraid .| 7Roa3aKnFoE
_*25643 3:17 |im not afraid ...| 7Roa3aKnFoE
_*25644 3:20 |man i 'm never going to pass this quiz .| 7Roa3aKnFoE
_*25645 3:23 |never say| 7Roa3aKnFoE
_*25646 3:24 neverr 7Roa3aKnFoE
_*25647 3:27 |its because it makes no sense .| 7Roa3aKnFoE
_*25648 3:29 |do n't think about it| 7Roa3aKnFoE
_*25649 3:31 |to much| 7Roa3aKnFoE
_*25650 3:32 |too much| 7Roa3aKnFoE
_*25651 3:32 |tooo much| 7Roa3aKnFoE
_*25652 3:33 |toooo much| 7Roa3aKnFoE
_*25653 3:36 |guess who 's back| 7Roa3aKnFoE
_*25654 3:38 |back again .| 7Roa3aKnFoE
_*25655 3:40 |miss i 'm done .| 7Roa3aKnFoE
_*25656 3:43 |look back at it !| 7Roa3aKnFoE
_*25657 3:44 |look back at it !| 7Roa3aKnFoE
_*25658 3:45 hmmm 7Roa3aKnFoE
_*25659 3:46 2+2 7Roa3aKnFoE
_*25660 3:46 |oh right| 7Roa3aKnFoE
_*25661 3:47 4 7Roa3aKnFoE
_*25662 3:49 |what does the fox say ? ?| 7Roa3aKnFoE
_*25663 3:51 |wop pop-pop-pop-pop-pop-pa-oh| 7Roa3aKnFoE
_*25664 3:54 hat-ee-hat-ee-hat-eehoa 7Roa3aKnFoE
_*25665 3:56 |hey answer to number 8 is| 7Roa3aKnFoE
_*25666 3:58 |ahhhhooooooooo !| 7Roa3aKnFoE
_*25667 4:01 |hey guys no cheating..| 7Roa3aKnFoE
_*25668 4:02 |i 've got my eyes on you .| 7Roa3aKnFoE
_*25669 4:10 |i need you guys to stop now .| 7Roa3aKnFoE
_*25670 4:12 |i ca n't stop stop stop stop stop..| 7Roa3aKnFoE
_*25671 4:14 |( bell rings )| 7Roa3aKnFoE
_*25672 4:15 schools 7Roa3aKnFoE
_*25673 4:17 out 7Roa3aKnFoE
_*25674 4:18 for 7Roa3aKnFoE
_*25675 4:19 |summer ! !| 7Roa3aKnFoE
_*25676 4:20 |actually miss , school just started this is day 3 .| 7Roa3aKnFoE
_*25677 4:30 |i 'm wide awake ! !| 7Roa3aKnFoE
_*25678 4:32 |where 'd everybody go ! ?| 7Roa3aKnFoE
_*25679 0:00 |fanni weisz sign-sings `` gabriel '' `` gabriel '' is a song of magdi ruzsa| HbJtXVt4qYU
_*25680 0:16 |i have to feel yet the silk of touch ,| HbJtXVt4qYU
_*25681 0:21 |no other on earth keeps me so in his arms .| HbJtXVt4qYU
_*25682 0:26 |and his heart beats , it 's flashes in its deep| HbJtXVt4qYU
_*25683 0:31 |a familiar look .| HbJtXVt4qYU
_*25684 0:36 |i have been waiting for such a long time ,| HbJtXVt4qYU
_*25685 0:44 |for the sky to send you to me again !| HbJtXVt4qYU
_*25686 0:53 |i wish , i wish it so much| HbJtXVt4qYU
_*25687 0:56 |to burn in your arms| HbJtXVt4qYU
_*25688 0:59 |my angel , gabriel ,| HbJtXVt4qYU
_*25689 1:03 |i would never wake up without you again ,| HbJtXVt4qYU
_*25690 1:09 |hold me like this forever !| HbJtXVt4qYU
_*25691 1:13 |i wish , i wish it so much| HbJtXVt4qYU
_*25692 1:15 |to burn in your arms| HbJtXVt4qYU
_*25693 1:18 |my angel , gabriel ,| HbJtXVt4qYU
_*25694 1:22 |my dream take wings inside me| HbJtXVt4qYU
_*25695 1:24 |and raise me up to the sky .| HbJtXVt4qYU
_*25696 1:27 |just the dawn should n't come .| HbJtXVt4qYU
_*25697 1:49 |kiss me as yet , please .| HbJtXVt4qYU
_*25698 1:52 |your kiss burns me !| HbJtXVt4qYU
_*25699 1:54 |in it 's fire my soul and my body come to new life ,| HbJtXVt4qYU
_*25700 2:01 |fly me high ,| HbJtXVt4qYU
_*25701 2:04 |i need n't say goodbye to someone else anyway .| HbJtXVt4qYU
_*25702 2:09 |and i 'm not hurt anymore ,| HbJtXVt4qYU
_*25703 2:17 |that the world is deaf , and it does n't think of me .| HbJtXVt4qYU
_*25704 2:27 |i wish , i wish it so much| HbJtXVt4qYU
_*25705 2:29 |to burn in your arms| HbJtXVt4qYU
_*25706 2:32 |my angel , gabriel ,| HbJtXVt4qYU
_*25707 2:37 |without you it would never wake up again ,| HbJtXVt4qYU
_*25708 2:42 |hold me like this forever !| HbJtXVt4qYU
_*25709 2:46 |i wish , i wish it so much| HbJtXVt4qYU
_*25710 2:48 |to burn in your arms| HbJtXVt4qYU
_*25711 2:51 |my angel , gabriel ,| HbJtXVt4qYU
_*25712 2:55 |my dream take wings inside me| HbJtXVt4qYU
_*25713 2:57 |and raise me up to the sky .| HbJtXVt4qYU
_*25714 3:00 |just the dawn should n't come .| HbJtXVt4qYU
_*25715 3:10 |my angel , gabriel| HbJtXVt4qYU
_*25716 3:20 |hold me like this forever !| HbJtXVt4qYU
_*25717 3:23 |i wish , i wish it so much| HbJtXVt4qYU
_*25718 3:25 |to burn in your arms| HbJtXVt4qYU
_*25719 3:28 |my angel , gabriel ,| HbJtXVt4qYU
_*25720 3:32 |my dream take wings inside me| HbJtXVt4qYU
_*25721 3:34 |and raise me up to the sky .| HbJtXVt4qYU
_*25722 3:38 |just the dawn should n't come .| HbJtXVt4qYU
_*25723 0:01 |hi if you do n't know me| m7OPN60eJgo
_*25724 0:03 |my name its marissa and| m7OPN60eJgo
_*25725 0:08 |i like talking about but today i want to talk about| m7OPN60eJgo
_*25726 0:14 |a different topic what topic| m7OPN60eJgo
_*25727 0:20 about m7OPN60eJgo
_*25728 0:21 |0 deaf culture language| m7OPN60eJgo
_*25729 0:25 |like sl or sign language| m7OPN60eJgo
_*25730 0:29 |i 'm hearing student but| m7OPN60eJgo
_*25731 0:32 |i go to university and i was looking and looking for language class| m7OPN60eJgo
_*25732 0:36 |i 'm searching and i found a sl| m7OPN60eJgo
_*25733 0:40 |night took three semesters people always ask me| m7OPN60eJgo
_*25734 0:45 |why did you take asl| m7OPN60eJgo
_*25735 0:50 |back in high school and that a deaf man| m7OPN60eJgo
_*25736 0:53 |who helps me study| m7OPN60eJgo
_*25737 0:57 |some asl what for| m7OPN60eJgo
_*25738 1:01 |it was for a player is helping with he was nice| m7OPN60eJgo
_*25739 1:05 |and funny and i wanted| m7OPN60eJgo
_*25740 1:09 |to learn more| m7OPN60eJgo
_*25741 1:13 |it was fascinating next i went to university| m7OPN60eJgo
_*25742 1:21 |took asl classes| m7OPN60eJgo
_*25743 1:24 |and wow its all fascinating culture| m7OPN60eJgo
_*25744 1:28 |the people and ice history| m7OPN60eJgo
_*25745 1:31 |wow there 's a lot of history| m7OPN60eJgo
_*25746 1:35 |my sin my asl| m7OPN60eJgo
_*25747 1:39 |it 's not the best i try but| m7OPN60eJgo
_*25748 1:45 |only never only taken three semesters| m7OPN60eJgo
_*25749 1:48 |but i think it 's fascinating| m7OPN60eJgo
_*25750 1:52 |i 'd like to use sign| m7OPN60eJgo
_*25751 1:55 |for conversation asking questions| m7OPN60eJgo
_*25752 1:59 |i like watching asl videos i think| m7OPN60eJgo
_*25753 2:03 |more people need to know about| m7OPN60eJgo
_*25754 2:07 |def as not a disabled groups| m7OPN60eJgo
_*25755 2:11 |no not really def people| m7OPN60eJgo
_*25756 2:15 |are smart are strong and brave| m7OPN60eJgo
_*25757 2:20 |they do n't mean the hearing people| m7OPN60eJgo
_*25758 2:23 |to look down at them and our condescendingly| m7OPN60eJgo
_*25759 2:27 |like their children and they 're all cute deaf people| m7OPN60eJgo
_*25760 2:31 |are n't a disabled groups necessarily not| m7OPN60eJgo
_*25761 2:34 |not really know deaf people are| m7OPN60eJgo
_*25762 2:38 |actually a different language group now i have two books| m7OPN60eJgo
_*25763 2:45 |for you about what| m7OPN60eJgo
_*25764 2:48 |about deaf culture and history| m7OPN60eJgo
_*25765 2:53 |the first book is this book a definite america| m7OPN60eJgo
_*25766 2:56 |voices from a culture by carol paden and tom humphries| m7OPN60eJgo
_*25767 3:00 |i like this book| m7OPN60eJgo
_*25768 3:04 |it 's fascinating| m7OPN60eJgo
_*25769 3:07 |has nice writing it 's a short book| m7OPN60eJgo
_*25770 3:15 |see its pretty short it talks about cultures things like| m7OPN60eJgo
_*25771 3:27 |naming how you they interact with parents| m7OPN60eJgo
_*25772 3:32 |how children grow up when you 're def the second book| m7OPN60eJgo
_*25773 3:36 |is this book the mask benevolence by heartland lane| m7OPN60eJgo
_*25774 3:40 |i talked about this book| m7OPN60eJgo
_*25775 3:45 |back in may i think i read this| m7OPN60eJgo
_*25776 3:49 |book for my ass off three course| m7OPN60eJgo
_*25777 3:53 |and it was okay| m7OPN60eJgo
_*25778 3:57 |not the best now add| m7OPN60eJgo
_*25779 4:00 |do n't like the writing in this book but| m7OPN60eJgo
_*25780 4:03 |if you want to learn about| m7OPN60eJgo
_*25781 4:07 |deaf culture and history about how he rain| m7OPN60eJgo
_*25782 4:13 |oppression up deaf people works| m7OPN60eJgo
_*25783 4:16 |it 's a good book okay| m7OPN60eJgo
_*25784 4:19 |thank you thank you thank you for watching| m7OPN60eJgo
_*25785 4:23 |this video a few lake this video| m7OPN60eJgo
_*25786 4:30 |and tell me or in preemies down below| m7OPN60eJgo
_*25787 4:35 |thanks i 'll see you next time| m7OPN60eJgo
_*25788 0:01 |welcome the irs is excited| zJtvlMIb5ss
_*25789 0:03 |to provide a series of videos with tips to help death| zJtvlMIb5ss
_*25790 0:07 |and hard-of-hearing taxpayers this series| zJtvlMIb5ss
_*25791 0:10 |will help you become familiar with the free tax preparation programs| zJtvlMIb5ss
_*25792 0:15 |in american sign language or asl today| zJtvlMIb5ss
_*25793 0:19 |will discuss what going to all three tax preparation site involves| zJtvlMIb5ss
_*25794 0:24 good zJtvlMIb5ss
_*25795 0:28 well zJtvlMIb5ss
_*25796 0:32 |want to know how a free tax preparation site will do your taxes| zJtvlMIb5ss
_*25797 0:36 |at absolutely no cost to you there are| zJtvlMIb5ss
_*25798 0:40 |to programs that do this the volunteer income tax assistance| zJtvlMIb5ss
_*25799 0:44 |known as by to and the tax counseling for the elderly| zJtvlMIb5ss
_*25800 0:49 |known as tc e i 'll| zJtvlMIb5ss
_*25801 0:53 |both train and test volunteers| zJtvlMIb5ss
_*25802 0:57 |to do taxes using computer programs and| zJtvlMIb5ss
_*25803 1:04 |okay let 's go over how it 's done| zJtvlMIb5ss
_*25804 1:07 |or remember to bring all your tax statements| zJtvlMIb5ss
_*25805 1:12 |such as w 2 's and 10 99 's| zJtvlMIb5ss
_*25806 1:15 |you also need a picture id| zJtvlMIb5ss
_*25807 1:20 |for you and if married your spouse| zJtvlMIb5ss
_*25808 1:23 |and social security cards| zJtvlMIb5ss
_*25809 1:27 |or individual tax identification number| zJtvlMIb5ss
_*25810 1:30 |or i 10 letters for all persons| zJtvlMIb5ss
_*25811 1:33 |you claim on your tax return i 'll| zJtvlMIb5ss
_*25812 1:39 and zJtvlMIb5ss
_*25813 1:43 |when you arrive at the free tax preparation site to have your taxes done| zJtvlMIb5ss
_*25814 1:47 |they will check your picture id and other information| zJtvlMIb5ss
_*25815 1:51 and zJtvlMIb5ss
_*25816 1:58 |the next step is to fill out and intake| zJtvlMIb5ss
_*25817 2:01 |interview and quality review sheet this is an| zJtvlMIb5ss
_*25818 2:06 |intake form that captures the basic information| zJtvlMIb5ss
_*25819 2:10 |needed to complete your taxes correctly % uh| zJtvlMIb5ss
_*25820 2:14 |do n't worry if you need help with the form| zJtvlMIb5ss
_*25821 2:17 |a certified tax repair can help you also| zJtvlMIb5ss
_*25822 2:23 |if you are not sure about a question you can market| zJtvlMIb5ss
_*25823 2:26 |as unsure and| zJtvlMIb5ss
_*25824 2:29 |let 's go over some other questions you answer| zJtvlMIb5ss
_*25825 2:33 |part 1| zJtvlMIb5ss
_*25826 2:37 |part 1 up the form| zJtvlMIb5ss
_*25827 2:43 |asks for your name as shown on your social security card| zJtvlMIb5ss
_*25828 2:47 |your current address and phone number| zJtvlMIb5ss
_*25829 2:50 it zJtvlMIb5ss
_*25830 2:54 |also asks if you are legally blind totally| zJtvlMIb5ss
_*25831 2:57 |and permanently disabled if you are a us citizen| zJtvlMIb5ss
_*25832 3:03 |if you are a full time student i 'll| zJtvlMIb5ss
_*25833 3:07 |or a victim of identity theft these questions are important| zJtvlMIb5ss
_*25834 3:13 |in preparing a correct tax return for you| zJtvlMIb5ss
_*25835 3:16 |i 'll| zJtvlMIb5ss
_*25836 3:21 |part 2| zJtvlMIb5ss
_*25837 3:26 |part 2 section 1 asks if you are single| zJtvlMIb5ss
_*25838 3:30 |married divorced or widowed| zJtvlMIb5ss
_*25839 3:34 |as of december 31st the same year for which you were filling out the tax form| zJtvlMIb5ss
_*25840 3:39 |this information| zJtvlMIb5ss
_*25841 3:43 |will help determine your filing status on the tax return| zJtvlMIb5ss
_*25842 3:47 on zJtvlMIb5ss
_*25843 3:53 |the second section asks you to list everyone living with you| zJtvlMIb5ss
_*25844 3:57 |or with whom you live this information will help determine| zJtvlMIb5ss
_*25845 4:02 |if you are dependent someone or can claim someone as a dependent| zJtvlMIb5ss
_*25846 4:07 |your you can claim a dependent if you meet several requirements| zJtvlMIb5ss
_*25847 4:14 |the person working with you| zJtvlMIb5ss
_*25848 4:18 |on your tax form will help you with this i 'll| zJtvlMIb5ss
_*25849 4:25 |part three| zJtvlMIb5ss
_*25850 4:32 |next you will fall out part 3 which asks you about the income types you receive| zJtvlMIb5ss
_*25851 4:37 |that year| zJtvlMIb5ss
_*25852 4:38 |such as wages interest dividends| zJtvlMIb5ss
_*25853 4:42 |and social security benefits you must mark yes| zJtvlMIb5ss
_*25854 4:46 |no or unsure for each of the 15 questions in this section| zJtvlMIb5ss
_*25855 4:57 |again if you mark unsure the tax preparer will help you decide| zJtvlMIb5ss
_*25856 5:02 |what the correct answer kids part 4| zJtvlMIb5ss
_*25857 5:07 |in part 4| zJtvlMIb5ss
_*25858 5:11 |you were asked about your expenses that may help your taxes| zJtvlMIb5ss
_*25859 5:14 |i for example if you paid money| zJtvlMIb5ss
_*25860 5:18 |into a retirement account this mean lower your taxes| zJtvlMIb5ss
_*25861 5:22 |be sure to answer every question| zJtvlMIb5ss
_*25862 5:26 |so that you get every tax benefit possible| zJtvlMIb5ss
_*25863 5:29 or zJtvlMIb5ss
_*25864 5:34 |part 5| zJtvlMIb5ss
_*25865 5:39 |part 5 asks about life| zJtvlMIb5ss
_*25866 5:41 |offense for example if you purchased| zJtvlMIb5ss
_*25867 5:44 |and installed energy-efficient home items such as windows and doors| zJtvlMIb5ss
_*25868 5:49 |you may qualify for tax credit also| zJtvlMIb5ss
_*25869 5:53 |if you live in an area affected by a natural disaster| zJtvlMIb5ss
_*25870 5:56 |you may be entitled to certain tax breaks| zJtvlMIb5ss
_*25871 6:00 |and it 's important to be| zJtvlMIb5ss
_*25872 6:03 |as thorough as possible or| zJtvlMIb5ss
_*25873 6:10 |part 6 if you purchased health care coverage| zJtvlMIb5ss
_*25874 6:16 |under the affordable care act or acta there are a few questions| zJtvlMIb5ss
_*25875 6:20 |i 'll however| zJtvlMIb5ss
_*25876 6:23 |the tax preparer make ask you for more information| zJtvlMIb5ss
_*25877 6:27 |in order to correctly report health care coverage| zJtvlMIb5ss
_*25878 6:30 |on your tax return| zJtvlMIb5ss
_*25879 6:38 |when you meet with the tax preparer| zJtvlMIb5ss
_*25880 6:40 |he or she will go over the form with you| zJtvlMIb5ss
_*25881 6:43 |to make sure it is complete and give you an opportunity| zJtvlMIb5ss
_*25882 6:47 |to ask questions the tax preparer will then start to enter your information| zJtvlMIb5ss
_*25883 6:56 |into a tax preparation computer program| zJtvlMIb5ss
_*25884 7:00 |% uh| zJtvlMIb5ss
_*25885 7:05 |after completing your tax return a second person| zJtvlMIb5ss
_*25886 7:09 |will check if all your information is reported correctly| zJtvlMIb5ss
_*25887 7:12 |such as your bank account code for direct deposit| zJtvlMIb5ss
_*25888 7:25 |this is great for making sure that you get the best| zJtvlMIb5ss
_*25889 7:28 |quality service| zJtvlMIb5ss
_*25890 7:34 |the final step is to print out your tax return| zJtvlMIb5ss
_*25891 7:37 |the tax preparer will again review it with you| zJtvlMIb5ss
_*25892 7:40 |it is important to know| zJtvlMIb5ss
_*25893 7:46 |that you are ultimately responsible| zJtvlMIb5ss
_*25894 7:49 |for the tax return have incorrect information| zJtvlMIb5ss
_*25895 7:52 |or if you are satisfied the tax return is correct| zJtvlMIb5ss
_*25896 7:58 |he will sign a form giving the free tax preparation sites| zJtvlMIb5ss
_*25897 8:02 |permission to electronically file your tax return| zJtvlMIb5ss
_*25898 8:05 |with the irs or| zJtvlMIb5ss
_*25899 8:09 |the steps are what you can expect| zJtvlMIb5ss
_*25900 8:13 |when you visit a bye to or tcp site| zJtvlMIb5ss
_*25901 8:17 |to have your taxes done and| zJtvlMIb5ss
_*25902 8:22 |for more information you can visit irs dot cup| zJtvlMIb5ss
_*25903 8:27 |to view other irs tax tips in asl| zJtvlMIb5ss
_*25904 8:30 |please visit youtube dot com| zJtvlMIb5ss
_*25905 8:34 |slash iris videos asl| zJtvlMIb5ss
_*25906 8:43 |up you can access it online| zJtvlMIb5ss
_*25907 8:46 |download it directly to your computer desktop| zJtvlMIb5ss
_*25908 8:49 |or laptop or at the dates to the electronic calendar| zJtvlMIb5ss
_*25909 8:54 |you already use even on your smartphone or tablet| zJtvlMIb5ss
_*25910 8:57 |i 'll if you need additional information| zJtvlMIb5ss
_*25911 9:01 |or have comments police email us| zJtvlMIb5ss
_*25912 9:04 |at partner at irs dot| zJtvlMIb5ss
_*25913 9:07 |cup in| zJtvlMIb5ss
_*25914 0:00 |jesus was born in a very special way an angel from heaven was sent to a young| jG0X-EuNCLU
_*25915 0:05 |virgin name mary| jG0X-EuNCLU
_*25916 0:07 |mary was engaged to a man named joseph| jG0X-EuNCLU
_*25917 0:12 |de angel told mary that god was going to cause her to become pregnant| jG0X-EuNCLU
